communication_event_id,event_source_id,artifact_kind,artifact_url,status
comm-1a5bc4c1c6f5549c74b964fd,src-4993d301eb56caa8b40fe3d2,VIDEO,https://www.youtube.com/live/7B_DBWrd1rk,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1a7662cacd7e1826dd4a57cb,src-af206de7f93edf9927eadfc3,VIDEO,https://www.youtube.com/watch?v=tQZXrUHZddA,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1b30249b8ed108358fd03603,src-2c830d560f6a667822b76ef4,VIDEO,https://youtu.be/fFAz5ZdL6Jo,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1b536b2bd66a72333a9bcadc,src-729f9480bdb4f1b805c47013,VIDEO,https://www.youtube.com/watch?v=zNmQx7fZx9g,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1c9ddf035dbfefec248fbe5c,src-051352f9c022f405b07a2912,VIDEO,https://www.youtube.com/watch?v=jDuMOjWAZWQ,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1d6dd1331a6d90c9e8987ee6,src-72da93601bf21e4baa598a1f,VIDEO,http://www.youtube.com/watch?v=Li0no7O9zmE,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1f3b7ab2e3b05684dfc31b3a,src-b9ad7df6b91b502b80a3510d,VIDEO,https://www.youtube.com/watch?v=qK6MCedEE2Q,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1f866afa8e06b987dde13654,src-6b4732d7398e3779d3eaf391,VIDEO,https://www.youtube.com/watch?v=bYZSfgpu2ZY,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-207c98b39f6942638e1fdff2,src-2b342c210d1b85f5a886849b,VIDEO,https://www.youtube.com/watch?v=6aJO9TJftsg,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-20976d507f4cf5a8438c3d6a,src-8c887b05f741fe67436ee30a,VIDEO,https://www.youtube.com/watch?v=TECr0-USkbw,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-20f2338189b6c7f435570417,src-36a2dc535c5d72e511d31a74,VIDEO,https://www.youtube.com/watch?v=qm5sBv-9LIA,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-20fafbe108543239c2c3f303,src-4e0828f59b91e7650d6b7312,VIDEO,https://www.youtube.com/watch?v=9Y0ZV1SdY30,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-21025587d7f5a48ce2686fb8,src-7f7c6c234eabbe347be28343,VIDEO,https://www.youtube.com/watch?v=RgtHUvDFvXM,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-21c3a1482184c5ad1e610acd,src-248372b326d5800e44d281e4,VIDEO,https://www.youtube.com/live/ARrKDX-CFlw?si=lD2ebG6uwbkNP4zP,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2227e5a6471a4310592a01f8,src-fc4c706c38a9d4fcbef56b0d,VIDEO,https://www.youtube.com/watch?v=oNxMqYGaOXM,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2227e5a6471a4310592a01f8,src-fc4c706c38a9d4fcbef56b0d,VIDEO,https://www.youtube.com/watch?v=oNxMqYGaOXM&t=25m49s,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-22f4bd6a9d63ccf2b2583459,src-692f417af48fc183bd4ee27d,VIDEO,https://www.youtube.com/live/4jb3JmQxW50,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2347dddbade3dcb025d94bde,src-4cca40be85c8b2fc91b6dae8,VIDEO,https://www.youtube.com/live/fLjZJKMxXXg,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
